review,vader_score,vader_sentiment,textblob_score,textblob_sentiment
Typing experience is excellent.,0.5719,Positive,1.0,Positive
Unboxing experience was great!,0.6588,Positive,1.0,Positive
"Fake product, don’t buy from this seller.",-0.4767,Negative,-0.5,Negative
Very impressed with the speed.,0.5256,Positive,1.0,Positive
Low storage but works well.,0.2732,Positive,0.0,Neutral
Speakers crackle at high volume.,0.0,Neutral,0.16,Positive
Very comfortable to hold.,0.5563,Positive,0.52,Positive
Feels solid and durable.,0.1531,Positive,0.0,Neutral
Charger heats up a lot.,0.0,Neutral,0.0,Neutral
Excellent value for money.,0.7269,Positive,1.0,Positive
Perfect gift for friends.,0.8658,Positive,1.0,Positive
Screen cracked within 2 days.,0.0,Neutral,0.0,Neutral
"Good sound, mediocre battery.",0.4404,Positive,0.20000000000000004,Positive
Bluetooth range is very poor.,-0.5256,Negative,-0.52,Negative
Microphone quality is clear.,0.3818,Positive,0.09999999999999999,Positive
Stopped working suddenly.,-0.2263,Negative,0.0,Neutral
Gaming performance is decent.,0.0,Neutral,0.16666666666666666,Positive
Not happy with the product at all.,-0.4585,Negative,-0.4,Negative
Love the minimalistic look.,0.6369,Positive,0.5,Positive
Great for beginners.,0.6249,Positive,0.8,Positive
Terrible for multitasking.,-0.4767,Negative,-1.0,Negative
Camera performs well in daylight.,0.2732,Positive,0.0,Neutral
Build quality feels premium.,0.0,Neutral,0.0,Neutral
Looks good but performs badly.,-0.4939,Negative,5.551115123125783e-17,Positive
Smooth animations and transitions.,0.0,Neutral,0.4,Positive
Battery drains too fast.,0.0,Neutral,0.2,Positive
Fingerprint sensor is very fast.,0.0,Neutral,0.26,Positive
Hard to clean and maintain.,0.3182,Positive,0.037500000000000006,Positive
Very accurate heart rate monitor.,0.6682,Positive,0.5200000000000001,Positive
Doesn’t track steps properly.,0.0,Neutral,0.0,Neutral
Brilliant for movies and games.,0.5859,Positive,0.9,Positive
Colors look washed out.,0.0,Neutral,0.0,Neutral
Fantastic processor speed!,0.5983,Positive,0.5,Positive
Charger cable is too short.,0.0,Neutral,0.0,Neutral
Good for office use.,0.4404,Positive,0.7,Positive
Buttons sometimes don’t respond.,0.0,Neutral,0.0,Neutral
Very lightweight laptop.,0.0,Neutral,0.2,Positive
Audio output is very low.,-0.3384,Negative,0.0,Neutral
Display is bright and crisp.,0.4404,Positive,0.47500000000000003,Positive
Body heats up quickly.,0.0,Neutral,0.3333333333333333,Positive
Lag-free experience.,0.0,Neutral,0.0,Neutral
Storage fills up quickly.,0.0,Neutral,0.3333333333333333,Positive
Build quality is average.,0.0,Neutral,-0.15,Negative
Highly responsive performance.,0.4201,Positive,0.16,Positive
Battery backup is terrible.,-0.4767,Negative,-1.0,Negative
Product arrived dirty.,-0.4404,Negative,-0.6,Negative
Very fun to use!,0.5974,Positive,0.48750000000000004,Positive
Touch response is slow.,0.0,Neutral,-0.30000000000000004,Negative
Screen flickers sometimes.,0.0,Neutral,0.0,Neutral
Premium feel in hand.,0.4939,Positive,0.0,Neutral
Back panel feels weak.,-0.4404,Negative,-0.1875,Negative
Very stable connection.,0.3597,Positive,0.2,Positive
Charging takes too long.,0.0,Neutral,-0.05,Negative
Perfect sound clarity.,0.7506,Positive,0.7,Positive
Face unlock works quick.,0.0,Neutral,0.3333333333333333,Positive
Hard to type in low light.,-0.3612,Negative,0.036111111111111115,Positive
Camera shutter is slow.,0.0,Neutral,-0.30000000000000004,Negative
This phone is very fast!,0.0,Neutral,0.325,Positive
Very slow and laggy system.,0.0,Neutral,-0.39000000000000007,Negative
Beautiful display quality!,0.636,Positive,1.0,Positive
Too big and bulky for my taste.,0.0,Neutral,0.0,Neutral
Very crisp audio output.,0.0,Neutral,0.325,Positive
Hinges feel loose.,-0.3182,Negative,-0.07692307692307693,Negative
Amazing vibration motor.,0.5859,Positive,0.6000000000000001,Positive
The coating scratches easily.,0.34,Positive,0.43333333333333335,Positive
I love the performance!,0.6696,Positive,0.625,Positive
Really poor materials used.,-0.5256,Negative,-0.4,Negative
Good for watching videos.,0.4404,Positive,0.7,Positive
Terrible charging speed.,-0.4767,Negative,-1.0,Negative
Feels comfortable on hand.,0.7579,Positive,0.4,Positive
Not compatible with my device.,0.0,Neutral,0.0,Neutral
Excellent build for the cost.,0.5719,Positive,1.0,Positive
Speaker quality is poor.,-0.4767,Negative,-0.4,Negative
Very smooth and stable UI.,0.3535,Positive,0.52,Positive
Cheap quality components.,0.0,Neutral,0.4,Positive
"Good display, weak battery.",0.0,Neutral,0.16249999999999998,Positive
Very strong network signal.,0.5563,Positive,0.5633333333333334,Positive
Freezes randomly.,-0.0258,Neutral,-0.5,Negative
Really impressed with camera.,0.5256,Positive,1.0,Positive
Plastic quality is cheap.,0.0,Neutral,0.4,Positive
Amazing for photography!,0.6239,Positive,0.7500000000000001,Positive
Not powerful enough.,-0.3252,Negative,-0.075,Negative
The packaging was beautiful.,0.5994,Positive,0.85,Positive
Overall a great product!,0.6588,Positive,0.5,Positive
"Not satisfied, expected better.",-0.5773,Negative,0.05000000000000001,Positive
Camera autofocus is slow.,0.0,Neutral,-0.30000000000000004,Negative
Battery holds charge for long.,0.0,Neutral,-0.05,Negative
Fans are too loud.,0.0,Neutral,0.1,Positive
Really soft buttons.,0.0,Neutral,0.1,Positive
Screen is extremely sharp.,0.0,Neutral,-0.125,Negative
Not recommended at this price.,-0.1511,Negative,0.0,Neutral
Great call quality!,0.6588,Positive,1.0,Positive
Do not waste your money.,0.3252,Positive,0.1,Positive
Very bright screen.,0.4927,Positive,0.9100000000000001,Positive
Extremely slow boot time.,0.0,Neutral,-0.30000000000000004,Negative
Great quality product.,0.6249,Positive,0.8,Positive
Received damaged item.,-0.4404,Negative,0.0,Neutral
Perfect for gamers!,0.6114,Positive,1.0,Positive
Poor charging port quality.,-0.4767,Negative,-0.4,Negative
Fantastic user experience!,0.5983,Positive,0.5,Positive
Very cheap feel.,0.0,Neutral,0.52,Positive
"Stunning looks, love it.",0.7783,Positive,0.5,Positive
Very bad sound quality.,-0.5849,Negative,-0.2549999999999999,Negative
Excellent multitasking ability.,0.7184,Positive,1.0,Positive
Low camera performance at night.,-0.2732,Negative,0.0,Neutral
Strong build and nice finish.,0.7269,Positive,0.5166666666666666,Positive
Not a reliable product.,0.0,Neutral,0.0,Neutral
Keyboard feels amazing.,0.5859,Positive,0.6000000000000001,Positive
Screen scratches easily.,0.34,Positive,0.43333333333333335,Positive
Very smooth scrolling.,0.0,Neutral,0.52,Positive
Terrible battery efficiency.,-0.1531,Negative,-1.0,Negative
Absolutely worth the price.,0.2944,Positive,0.3,Positive
Bluetooth keeps disconnecting.,0.0,Neutral,0.0,Neutral
Lightweight and compact.,0.0,Neutral,0.0,Neutral
System crashes often.,0.0,Neutral,0.0,Neutral
Feels premium and sturdy.,0.0,Neutral,0.0,Neutral
Display quality is poor.,-0.4767,Negative,-0.4,Negative
The battery lasts very long.,0.0,Neutral,-0.065,Negative
Speaker is super loud!,0.636,Positive,0.22916666666666666,Positive
Not worth buying.,-0.1695,Negative,-0.15,Negative
Fantastic features!,0.5983,Positive,0.5,Positive
Poorly optimized software.,0.4588,Positive,-0.4,Negative
Very handy and portable.,0.0,Neutral,0.78,Positive
Signal reception is bad.,-0.5423,Negative,-0.6999999999999998,Negative
Camera is excellent!,0.6114,Positive,1.0,Positive
Battery drains rapidly.,0.0,Neutral,0.0,Neutral
Great for work and study.,0.6249,Positive,0.8,Positive
Heating issues ruin everything.,-0.5859,Negative,0.0,Neutral
Good performance overall.,0.4404,Positive,0.35,Positive
Uncomfortable to hold.,-0.3818,Negative,-0.5,Negative
